Occupation,1979,1993,1997,1999,2001,2002,2003,2004,2005
"Executives, managers, supervisors (non-finance)",48.1,45.7,48.4,47.1,42.6,40.6,40.5,40.9,42.5
"Financial professions, including management",11,14.1,14.7,16.4,19.1,19,17.8,18.7,18
Lawyers,7.3,6.5,6.3,5.9,7.1,8.2,8.8,8,7.3
Medical,7.9,13.3,6.8,4.4,5.2,6.8,7.6,6.3,5.9
"Real estate",1.8,1.3,1.8,2.1,2.5,2.9,3,3.3,3.7
"Entrepreneur not elsewhere classified",3.9,3,2.8,2.7,2.8,2.9,3.2,3,3
"Arts, media, sports",2.2,3.3,3.5,3.5,3.3,3.6,3.4,3.3,3
"Business operations (nonfinance)",1.5,1.7,2.3,2.2,2.7,2.7,2.2,2.7,2.9
"Computer, math, engineering, technical (nonfinance)",2.3,2.3,3.1,4.7,4,3,3.1,3,2.9
"Other known occupation",2.9,2.1,2.2,2.6,2.5,2.5,2.4,2.5,2.7
"Skilled sales (except finance or real estate)",2.2,2.9,2.9,2.6,2.4,2.3,2.3,2.3,2.3
"Professors and scientists",0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9
"Farmers & ranchers",1.4,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.6
Unknown,1.4,0.5,0.5,0.9,0.7,0.6,0.8,0.7,0.5
"Not working or deceased",5.4,2.5,3.5,3.8,4,3.7,3.7,3.8,3.8
